Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
grey60	5991355	Repair synthesis for gap-filling by DNA polymerase in TC-NER	1/7	15/7109	0.0146830019103712	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5992091	TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	1/7	15/7109	0.0146830019103712	0.0570453767358865	0.0254997358156089	Myd88	1
grey60	5992358	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	1/7	15/7109	0.0146830019103712	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5992360	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	1/7	15/7109	0.0146830019103712	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991000	Processive synthesis on the lagging strand	1/7	16/7109	0.0156552628332111	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991684	p75NTR signals via NF-kB	1/7	16/7109	0.0156552628332111	0.0570453767358865	0.0254997358156089	Myd88	1
grey60	5992359	Mismatch Repair	1/7	16/7109	0.0156552628332111	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991201	Gap-filling DNA repair synthesis and ligation in GG-NER	1/7	17/7109	0.0166267013162461	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991348	Gap-filling DNA repair synthesis and ligation in TC-NER	1/7	17/7109	0.0166267013162461	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991364	PCNA-Dependent Long Patch Base Excision Repair	1/7	17/7109	0.0166267013162461	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991365	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	1/7	19/7109	0.0185671132819192	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991080	Synthesis and interconversion of nucleotide di- and triphosphates	1/7	20/7109	0.0195360879232488	0.0570453767358865	0.0254997358156089	Nme4	1
grey60	5991121	Formation of incision complex in GG-NER	1/7	20/7109	0.0195360879232488	0.0570453767358865	0.0254997358156089	Ddb2	1
grey60	5991125	Dual incision reaction in GG-NER	1/7	20/7109	0.0195360879232488	0.0570453767358865	0.0254997358156089	Ddb2	1
grey60	5990999	Lagging Strand Synthesis	1/7	21/7109	0.0205042424421567	0.0575696037799014	0.025734069461816	Pold1	1
grey60	5991610	Telomere C-strand (Lagging Strand) Synthesis	1/7	23/7109	0.0224380934264955	0.0606659563012656	0.0271181635953747	Pold1	1
grey60	5991504	Extension of Telomeres	1/7	25/7109	0.0243686708592485	0.0613594186115196	0.0274281467477593	Pold1	1
grey60	5991744	disassembly of the destruction complex and recruitment of AXIN to the membrane	1/7	26/7109	0.0253327334374509	0.0613594186115196	0.0274281467477593	Ppp2r5a	1
grey60	5992392	Recognition of DNA damage by PCNA-containing replication complex	1/7	27/7109	0.0262959793595092	0.0613594186115196	0.0274281467477593	Pold1	1
grey60	5992394	Termination of translesion DNA synthesis	1/7	28/7109	0.027258409201995	0.0613594186115196	0.0274281467477593	Pold1	1
grey60	5991487	Gamma carboxylation, hypusine formation and arylsulfatase activation	1/7	29/7109	0.0282200235411542	0.0613594186115196	0.0274281467477593	Arsk	1
grey60	5991488	Post-translational protein modification	2/7	287/7109	0.0298172847238246	0.0613594186115196	0.0274281467477593	Arsk/Wrn	2
grey60	5991361	Resolution of Abasic Sites (AP sites)	1/7	31/7109	0.030140808012849	0.0613594186115196	0.0274281467477593	Pold1	1
grey60	5990998	DNA strand elongation	1/7	32/7109	0.0310999792962496	0.0613594186115196	0.0274281467477593	Pold1	1
grey60	5991352	Base Excision Repair	1/7	32/7109	0.0310999792962496	0.0613594186115196	0.0274281467477593	Pold1	1
grey60	5992207	Glycosphingolipid metabolism	1/7	32/7109	0.0310999792962496	0.0613594186115196	0.0274281467477593	Arsk	1
grey60	5991357	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	1/7	35/7109	0.0339726162350246	0.0652631838199156	0.0291731607558383	Pold1	1
grey60	5991358	DNA Damage Bypass	1/7	45/7109	0.0434954134717482	0.0791306683821756	0.0353720363352191	Pold1	1
grey60	5991555	Interleukin-1 signaling	1/7	45/7109	0.0434954134717482	0.0791306683821756	0.0353720363352191	Myd88	1
grey60	5991505	Telomere Maintenance	1/7	46/7109	0.0444432521050575	0.0791306683821756	0.0353720363352191	Pold1	1
grey60	5991346	Transcription-coupled NER (TC-NER)	1/7	48/7109	0.0463365143824516	0.0805372749980706	0.03600080064802	Pold1	1
grey60	5991550	Cytosolic sensors of pathogen-associated DNA 	1/7	61/7109	0.0585645278921306	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991337	MyD88 cascade initiated on plasma membrane	1/7	64/7109	0.0613672117851169	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991338	Toll Like Receptor 10 (TLR10) Cascade	1/7	64/7109	0.0613672117851169	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991339	Toll Like Receptor 5 (TLR5) Cascade	1/7	64/7109	0.0613672117851169	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991979	Sphingolipid metabolism	1/7	65/7109	0.0622998490480701	0.0913244573063711	0.0408227566906634	Arsk	1
grey60	5991333	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	1/7	67/7109	0.0641627409081442	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991334	MyD88 dependent cascade initiated on endosome	1/7	68/7109	0.0650929966328878	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991336	Toll Like Receptor 7/8 (TLR7/8) Cascade	1/7	68/7109	0.0650929966328878	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991335	Toll Like Receptor 9 (TLR9) Cascade	1/7	70/7109	0.0669511304884406	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991322	MyD88:Mal cascade initiated on plasma membrane	1/7	72/7109	0.0688060979705536	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991326	Toll Like Receptor TLR1:TLR2 Cascade	1/7	72/7109	0.0688060979705536	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991327	Toll Like Receptor 2 (TLR2) Cascade	1/7	72/7109	0.0688060979705536	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991328	Toll Like Receptor TLR6:TLR2 Cascade	1/7	72/7109	0.0688060979705536	0.0913244573063711	0.0408227566906634	Myd88	1
grey60	5991506	Chromosome Maintenance	1/7	75/7109	0.0715826220808184	0.0933130609267812	0.0417116782801762	Pold1	1
grey60	5992309	SUMOylation of DNA damage response and repair proteins	1/7	78/7109	0.0743520471275803	0.0935810248329889	0.0418314602714154	Wrn	1
grey60	5992310	SUMO E3 ligases SUMOylate target proteins	1/7	78/7109	0.0743520471275803	0.0935810248329889	0.0418314602714154	Wrn	1
grey60	5991078	Metabolism of nucleotides	1/7	83/7109	0.0789520209305304	0.0960582921321454	0.0429388184008148	Nme4	1
grey60	5992302	SUMOylation	1/7	83/7109	0.0789520209305304	0.0960582921321454	0.0429388184008148	Wrn	1
magenta	5991070	Death Receptor Signalling	1/7	13/7109	0.0127360104242946	0.0747886012420773	0.0439932948482807	Tradd	1
magenta	5992200	Transcriptional activation of mitochondrial biogenesis	1/7	13/7109	0.0127360104242946	0.0747886012420773	0.0439932948482807	Gabpa	1
magenta	5992279	Anchoring fibril formation	1/7	15/7109	0.0146830019103712	0.0747886012420773	0.0439932948482807	Lama3	1
magenta	5991127	Ligand-dependent caspase activation	1/7	16/7109	0.0156552628332111	0.0747886012420773	0.0439932948482807	Tradd	1
