Area	Mean	Min	Max	IntDen	RawIntDen	adjusted.mean	mouse	slide	section	striatum	blank
30132	99.596	2	146	3001028	3001028	87.018	xim.636	2	4	2	no
30132	113.215	1	159	3411397	3411397	100.637	xim.636	2	4	2	no
30132	117.737	1	170	3547665	3547665	105.159	xim.636	2	4	2	no
30132	126.043	11	170	3797935	3797935	113.465	xim.636	2	4	2	no
30132	116.84	0	168	3520622	3520622	104.262	xim.636	2	4	2	no
9180	14.685	7	35	134805	134805	0	xim.666	1	3	1	yes
9180	81.517	3	136	748325	748325	66.832	xim.666	1	3	1	no
9180	88.213	1	145	809799	809799	73.528	xim.666	1	3	1	no
9180	104.689	1	151	961041	961041	90.004	xim.666	1	3	1	no
9180	107.053	9	145	982746	982746	92.368	xim.666	1	3	1	no
9180	116.759	1	157	1071852	1071852	102.074	xim.666	1	3	1	no
7560	14.684	7	30	111009	111009	0	xim.666	1	3	2	yes
7560	84.716	0	143	640450	640450	70.032	xim.666	1	3	2	no
7560	91.501	0	144	691749	691749	76.817	xim.666	1	3	2	no
7560	100.173	0	155	757310	757310	85.489	xim.666	1	3	2	no
7560	98.672	1	153	745963	745963	83.988	xim.666	1	3	2	no
7560	109.612	0	168	828670	828670	94.928	xim.666	1	3	2	no
16560	14.966	8	104	247844	247844	0	xim.666	2	1	1	yes
16560	102.982	1	160	1705378	1705378	88.016	xim.666	2	1	1	no
16560	99.87	0	160	1653839	1653839	84.904	xim.666	2	1	1	no
16560	125.029	1	170	2070479	2070479	110.063	xim.666	2	1	1	no
16560	131.082	2	172	2170713	2170713	116.116	xim.666	2	1	1	no
16560	133.139	1	177	2204780	2204780	118.173	xim.666	2	1	1	no
35640	14.265	5	37	508419	508419	0	xim.666	2	1	2	yes
35640	105.596	1	155	3763446	3763446	91.331	xim.666	2	1	2	no
35640	117.278	1	168	4179789	4179789	103.013	xim.666	2	1	2	no
35640	123.006	1	171	4383920	4383920	108.741	xim.666	2	1	2	no
35640	128.18	1	179	4568342	4568342	113.915	xim.666	2	1	2	no
35640	126.42	2	185	4505602	4505602	112.155	xim.666	2	1	2	no
24192	14.349	6	38	347139	347139	0	xim.666	2	2	1	yes
24192	104.18	1	149	2520318	2520318	89.831	xim.666	2	2	1	no
24192	119.993	1	171	2902871	2902871	105.644	xim.666	2	2	1	no
24192	125.168	2	178	3028053	3028053	110.819	xim.666	2	2	1	no
24192	118.494	1	167	2866605	2866605	104.145	xim.666	2	2	1	no
24192	125.512	2	175	3036381	3036381	111.163	xim.666	2	2	1	no
31104	14.349	5	40	446313	446313	0	xim.666	2	2	2	yes
31104	99.012	2	149	3079675	3079675	84.663	xim.666	2	2	2	no
31104	110.973	9	151	3451700	3451700	96.624	xim.666	2	2	2	no
31104	120.988	6	167	3763219	3763219	106.639	xim.666	2	2	2	no
31104	115.263	3	164	3585133	3585133	100.914	xim.666	2	2	2	no
31104	123.26	1	177	3833874	3833874	108.911	xim.666	2	2	2	no
19656	15.454	4	53	303773	303773	0	xim.666	2	3	1	yes
19656	113.137	1	155	2223830	2223830	97.683	xim.666	2	3	1	no
19656	116.915	22	155	2298076	2298076	101.461	xim.666	2	3	1	no
19656	122.001	36	159	2398059	2398059	106.547	xim.666	2	3	1	no
19656	106.858	11	151	2100405	2100405	91.404	xim.666	2	3	1	no
19656	110.192	48	142	2165941	2165941	94.738	xim.666	2	3	1	no
25056	13.883	4	37	347847	347847	0	xim.666	2	3	2	yes
25056	110.597	6	148	2771126	2771126	96.714	xim.666	2	3	2	no
25056	119.761	37	158	3000720	3000720	105.878	xim.666	2	3	2	no
25056	117.283	2	173	2938637	2938637	103.4	xim.666	2	3	2	no
25056	123.41	7	165	3092168	3092168	109.527	xim.666	2	3	2	no
25056	120.474	22	165	3018601	3018601	106.591	xim.666	2	3	2	no
14400	14.442	5	77	207967	207967	0	xim.666	3	1	1	yes
14400	113.801	14	151	1638738	1638738	99.359	xim.666	3	1	1	no
14400	122.318	60	161	1761373	1761373	107.876	xim.666	3	1	1	no
14400	117.317	23	156	1689359	1689359	102.875	xim.666	3	1	1	no
14400	117.527	16	161	1692395	1692395	103.085	xim.666	3	1	1	no
14400	99.379	21	150	1431058	1431058	84.937	xim.666	3	1	1	no
29160	14.325	5	47	417724	417724	0	xim.666	3	1	2	yes
29160	109.782	4	152	3201236	3201236	95.457	xim.666	3	1	2	no
29160	111.839	33	149	3261229	3261229	97.514	xim.666	3	1	2	no
29160	102.051	0	149	2975803	2975803	87.726	xim.666	3	1	2	no
29160	99.881	3	148	2912544	2912544	85.556	xim.666	3	1	2	no
29160	92.774	10	147	2705276	2705276	78.449	xim.666	3	1	2	no
9792	15.535	4	43	152122	152122	0	xim.666	3	2	1	yes
9792	83.549	31	141	818111	818111	68.014	xim.666	3	2	1	no
9792	96.472	27	153	944650	944650	80.937	xim.666	3	2	1	no
9792	82.186	21	125	804764	804764	66.651	xim.666	3	2	1	no
9792	74.861	8	121	733039	733039	59.326	xim.666	3	2	1	no
9792	84.2	25	130	824487	824487	68.665	xim.666	3	2	1	no
11628	16.217	5	54	188569	188569	0	xim.666	3	2	2	yes
11628	87.962	28	142	1022821	1022821	71.745	xim.666	3	2	2	no
11628	96.682	3	142	1124215	1124215	80.465	xim.666	3	2	2	no
11628	91.466	19	132	1063571	1063571	75.249	xim.666	3	2	2	no
11628	106.043	40	139	1233066	1233066	89.826	xim.666	3	2	2	no
11628	105.992	46	140	1232480	1232480	89.775	xim.666	3	2	2	no
24300	14.976	6	54	363920	363920	0	xim.932	2	1	1	yes
24300	101.214	3	156	2459494	2459494	86.238	xim.932	2	1	1	no
24300	90.392	3	151	2196524	2196524	75.416	xim.932	2	1	1	no
24300	68.924	2	118	1674846	1674846	53.948	xim.932	2	1	1	no
24300	71.749	13	121	1743497	1743497	56.773	xim.932	2	1	1	no
24300	61.165	24	95	1486316	1486316	46.189	xim.932	2	1	1	no
29016	13.911	5	31	403641	403641	0	xim.932	2	1	2	yes
29016	76.419	2	122	2217364	2217364	62.508	xim.932	2	1	2	no
29016	60.714	15	126	1761663	1761663	46.803	xim.932	2	1	2	no
29016	93.085	2	138	2700965	2700965	79.174	xim.932	2	1	2	no
29016	87.565	2	128	2540773	2540773	73.654	xim.932	2	1	2	no
29016	64.782	1	120	1879721	1879721	50.871	xim.932	2	1	2	no
15840	14.067	7	27	222817	222817	0	xim.932	3	1	1	yes
15840	89.572	1	140	1418816	1418816	75.505	xim.932	3	1	1	no
15840	100.508	2	145	1592054	1592054	86.441	xim.932	3	1	1	no
15840	123.613	18	162	1958034	1958034	109.546	xim.932	3	1	1	no
15840	111.75	10	160	1770119	1770119	97.683	xim.932	3	1	1	no
15840	131.424	4	171	2081759	2081759	117.357	xim.932	3	1	1	no
24300	14.846	8	29	360752	360752	0	xim.932	3	1	2	yes
24300	87.118	0	146	2116962	2116962	72.272	xim.932	3	1	2	no
24300	94.194	1	150	2288906	2288906	79.348	xim.932	3	1	2	no
24300	108.162	5	159	2628348	2628348	93.316	xim.932	3	1	2	no
24300	105.339	2	152	2559749	2559749	90.493	xim.932	3	1	2	no
24300	88.192	0	140	2143064	2143064	73.346	xim.932	3	1	2	no
31824	14.258	5	65	453760	453760	0	xim.932	3	2	1	yes
31824	92.495	4	143	2943575	2943575	78.237	xim.932	3	2	1	no
31824	107.34	2	165	3415974	3415974	93.082	xim.932	3	2	1	no
31824	113.415	3	160	3609314	3609314	99.157	xim.932	3	2	1	no
31824	102.503	0	158	3262062	3262062	88.245	xim.932	3	2	1	no
31824	109.813	1	159	3494695	3494695	95.555	xim.932	3	2	1	no
36720	14.196	6	37	521283	521283	0	xim.932	3	2	2	yes
36720	91.159	2	136	3347366	3347366	76.963	xim.932	3	2	2	no
36720	97.631	2	145	3584999	3584999	83.435	xim.932	3	2	2	no
36720	106.63	0	157	3915462	3915462	92.434	xim.932	3	2	2	no
36720	110.468	0	173	4056398	4056398	96.272	xim.932	3	2	2	no
36720	115.085	1	167	4225911	4225911	100.889	xim.932	3	2	2	no
34272	13.399	4	49	459206	459206	0	xim.932	3	3	1	yes
34272	105.175	3	152	3604564	3604564	91.776	xim.932	3	3	1	no
34272	114.554	12	165	3925984	3925984	101.155	xim.932	3	3	1	no
34272	98.224	0	151	3366317	3366317	84.825	xim.932	3	3	1	no
34272	101.673	12	154	3484537	3484537	88.274	xim.932	3	3	1	no
34272	86.913	1	138	2978695	2978695	73.514	xim.932	3	3	1	no
31248	13.857	5	36	432992	432992	0	xim.932	3	3	2	yes
31248	89.679	7	135	2802288	2802288	75.822	xim.932	3	3	2	no
31248	106.373	11	148	3323955	3323955	92.516	xim.932	3	3	2	no
31248	99.04	3	157	3094813	3094813	85.183	xim.932	3	3	2	no
31248	87.33	11	141	2728897	2728897	73.473	xim.932	3	3	2	no
31248	89.966	0	144	2811260	2811260	76.109	xim.932	3	3	2	no
17388	14.501	6	42	252145	252145	0	xim.935	1	1	1	yes
17388	81.601	2	131	1418873	1418873	67.1	xim.935	1	1	1	no
17388	79.421	17	130	1380970	1380970	64.92	xim.935	1	1	1	no
17388	86.536	4	136	1504690	1504690	72.035	xim.935	1	1	1	no
17388	67.472	16	108	1173204	1173204	52.971	xim.935	1	1	1	no
17388	82.131	7	123	1428099	1428099	67.63	xim.935	1	1	1	no
23400	14.454	5	39	338225	338225	0	xim.935	1	1	2	yes
23400	77.237	18	117	1807342	1807342	62.783	xim.935	1	1	2	no
23400	87.235	25	129	2041307	2041307	72.781	xim.935	1	1	2	no
23400	68.436	1	121	1601405	1601405	53.982	xim.935	1	1	2	no
23400	64.145	5	111	1500995	1500995	49.691	xim.935	1	1	2	no
23400	75.005	2	132	1755106	1755106	60.551	xim.935	1	1	2	no
23400	14.699	3	71	343959	343959	0	xim.935	3	3	1	yes
23400	64.201	3	116	1502304	1502304	49.502	xim.935	3	3	1	no
23400	85.459	1	139	1999750	1999750	70.76	xim.935	3	3	1	no
23400	62.163	1	120	1454603	1454603	47.464	xim.935	3	3	1	no
23400	79.24	1	133	1854224	1854224	64.541	xim.935	3	3	1	no
23400	78.021	6	126	1825691	1825691	63.322	xim.935	3	3	1	no
39060	14.958	5	140	584253	584253	0	xim.935	3	3	2	yes
